text,label
"We include treatment with an angiotensin-converting enzyme inhibitor and thiazide diuretic for those without CVD or cerebrovascular disease history, while including beta-blockers for those with such a history, as per WHO guidelines further detailed in Text S1 [16,25].",neutral
"Under simplifying assumptions, we have analytically shown how disynaptic inhibition that is as fast as mono-synaptic excitation can extend the effective range of inhibitory interactions, in contrast to the recent analytical results showing that in the case of equal synaptic delays on all connections the disynaptic inhibition has negligible effects (Muir and Cook, 2014).",positive
"These data are consistent with the previously demonstrated defect of ubc9-1 mutants in the degradation of Clb2 and Clb5 (Seufert et al., 1995).",positive
"The drift was removed because it would produce exaggerated standard deviation (SD) of force values not representative of the fluctuations of interest (39,46).",neutral
"In a second experiment, ten Antarctic prions were rendered anosmic using an injection of zinc sulphate solution into the olfactory chambers (Bonadonna et al. 2001), and ten other birds, acting as controls, were sham-treated.",neutral
"UV A radiation is absorbed by DNA and reacts with non-DNA chromophores, leading to formation of reactive oxygen species (ROS) which damage DNA, proteins, and lipids in the skin [4,5].",neutral
"Statistics\n G-tests of interdependence (Sokal and Rohlf 1981) were used to compare overall activity, locomotor, posture, and support-use profiles (Doran 1992, 1993; McGraw 1996, 1998a, b; Dunham and McGraw 2014).",neutral
"…forests through important stand development phases (for example, establishment, canopy closure, age-related declines in stand productivity) to examine whether the early stimulation of plant productivity by elevated CO2 persists as stands\nmature after reaching maximum productivity (Körner 2006).",neutral
"Minimizing the first two terms of equation 6.7, which are\n7 This mechanism was proposed in Amari (1977) and Pouget and Zhang (1997).\nof order 1, determines that the stable state is on the line attractor.",neutral
"The pCEFLHA-HMGA1, pCEFL-HA-HMGA2, pCEFL-HA-HMGA1 (1–43) and pCEFL-HA-HMGA2 (1–73) vectors were previously described (Fedele et al., 2006; Pierantoni et al., 2001; Pentimalli et al., 2008).",neutral
"Minimization weights w , which results in the flatness property of the weights, is intended for reducing overfitting of the data and minimization of bad generalization effects [8].",neutral
"Because of the inherent lack of scalability in floodbased schemes, researchers have looked at several hierarchical and structured approaches [12][11].",neutral
"The health word was seen as problematic when implementing an HiAP approach because it could hinder an understanding of public health as a cross-sectional responsibility, mainly outside the health sector.",negative
"…around the soccer field (outside the touch and goal lines, which were extensions of the halfway line or penalty area approximately 3–30 m from each line) because multiple perpendicular views were recommended to obtain more accurate results using the MBIM technique (Krosshaug and Bahr, 2005).",neutral
"Recent studies have clarified that such mycoheterotrophic gametophytes are associated with a particular AM fungal group (Winther and Friedman 2007, 2008, 2009), but knowledge about mycorrhizal associations of aboveground photosynthetic gametophytes is still unclear for most pteridophyte families.",positive
"Ventilatory parameters were monitored with a CO2SMO Plus monitoring system (Novametrix Medical Systems, Wallingford, CT, USA).",neutral
"For example, one splice variant results in lIMnebulette, also called lasp-2 (Katoh and Katoh 2003). the MB-associated NEBL snP rs11012461 is located within intron 3 of the Lasp-2 portion of NEBL.",neutral
"Since starvation is thought to be one of the main dormancyinducing stresses encountered by Mtb inside the granuloma [11,33], Mtb WT and Dfcr mutants were starved in PBS to determine the role of the fcr genes in wax synthesis under this dormancy-inducing stress.",neutral
"developing melanoma is greater in males than in females over the age of 40, although the opposite effect is observed in patients under 40 years old (Lens and Dawes, 2004; Jemal et al., 2010).",neutral
"nigriventer venom, and is characterized by the inhibition of L-Glutamate receptors and their insecticidal activities [19].",neutral
"This confirms and extends the results of Connelly et al. (2005) and the work of Berninger (1999), among others.",positive
"We also hypothesized that ongoing selection for seed size will have resulted in a narrowing of seed size variation among populations within bioregions and among individual plants within populations in the most arid and unfavourable environments relative to populations from a more favourable core habitat [29,30].",neutral
"For source coding and rate-distortion coding problems, polar codes have been shown to be competitive with the state-of-the-art methods [2], [3].",positive
"Similar results have been reported by others (Tassou et al., 1995; Del Campo et al., 2000; Skandamis and Nychas, 2000).",positive
"To date, most of genes involving in HM uptake, transport, sequestration, and detoxification in woody plants were restricted to Populus (Marmiroli et al., 2011; Luo et al., 2016).",neutral
"Surface air temperature data for summer (SSAT) and winter (WSAT), to the nearest 0.1 °C, was collected using the WorldClim database (Hijmans et al., 2005) at every degree of latitude.",neutral
"synthase (PaKCS6) (Khadivi-Khub 2015; Balbontı́n et al. 2014, 2013; Kasai et al. 2008; Huang et al. 2006; Lu et al. 2006; Wang et al. 2006; Moctezuma et al. 2003; Schuch et al. 1991; Peet 1992; Cuartero et al. 1981) have also been identified to be closely associated with fruit cracking, which also shows the importance of the fruit pericarp in cracking.",positive
"The highest deposition of Fe in soil could be due to its long-term use in the production of machine tools, paints, pigments and alloying in various industries of the study area that may contaminate soil (Yadav et al. 2013).",neutral
", 2002) and hydroxypropyl methylcellulose (HPMC) (Kushida and Gotoda, 2013; Miyazaki et al., 2011) or enteric polymers such as hydroxypropyl methylcellulose phthalate (HPMCP) (Miyazaki et al.",neutral
"The results obtained in our study agree with previous clinical observations that have failed to detect a link between administration of exogenous glutamate and clinical neurological injury in association with cardiac surgery.(11,12) The results also argue against a role for exogenous glutamate in the evolution of subclinical neurological injury.",positive
Anticancer activities of antioxidants are investigated thoroughly revealing the most common mechanism of action as the fenton reaction in which antioxidants at higher concentrations act as oxidants to induce apoptotic cell death in cancer cells (Matés and Sánchez-Jiménez 2000).,positive
"The data sets we use are publicly available from two widely used knowledge graphs, WordNet [37] and Freebase [3].",neutral
"Our results were consistent with the findings in the literature that visual impairment is common among patients in rehabilitation facilities (Cox et al., 2005; Grue et al., 2009; Lieberman et al., 2004; Lotery et al., 2000; Park et al., 2005; Squirrell et al., 2005; Wainapel et al., 1989).",positive
"In brief, a stratified sample of 40,523 addresses was selected from the smalluser postcode address file for Britain, by use of a multistage probability cluster design, with oversampling in greater London [11].",neutral
"It is common for individual Streptomyces strains to have the capacity to both produce and resist inhibition by many antibiotic compounds (Challis and Hopwood, 2003; Davelos et al., 2004a; D’Costa et al., 2006).",neutral
"Among possible explanations is the contribution of sex hormones in the modulation of Tregs.34\nTreg-mediated local immune evasion underpins the second finding of our study, i.e. the positive association between higher FOXP3-positive T cells and the presence of VELIPI.",neutral
"The 21 RCTs [15-35] and 42 observational studies [36-77] (33 cohort, nine case-control) were included in the analysis.",neutral
"The change in the apparent diameter of the particles was calculated using equation (1), where di is the diameter of the protein-coated particles and ds is the apparent diameter of the sample after immunogold-labelling:",neutral
"The potential for BCL-xL to modulate other channels in the outer mitochondrial membrane is suggested by the finding that BCL-xL regulates the open state of the mitochondrial voltage-dependent anion channel (VDAC) in synthetic membranes (Degterev et al., 2001; Vander Heiden et al., 2001).",neutral
"Antidepressant-like effects were measured using the tail suspension test (TST) [20], with minor alterations [14].",neutral
"Both problems can be solved in polynomial time for strongly chordal graphs [6], comparability graphs [4] and Helly circular-arc graphs [7,11].",neutral
"In addition, both sustained and selective attention were measured with the Continuous Performance Task (CPT) [21].",neutral
"These results support the previous study in the M. fascicularis (Ruiz-Herrera et al., 2002a), where 51.14% of chromosome bands where ITSs are located express aphidicolin-induced fragile sites.",positive
"Training: We built separate directed word alignments for English→Arabic and for Arabic→English using IBM model 4 [19], and symmetrized them using grow-diag-final-and heuristic [20].",neutral
"A poor performance on the FCSRT has also shown a high correlation with atrophy in the medial temporal lobe (Sánchez-Benavides et al., 2010; Sarazin et al., 2010) and was significantly associated with cerebrospinal fluid (CSF) AD-biomarkers (Wagner et al., 2012), increasing the validity of this…",neutral
"To further confirm the EMu analysis, we also analyzed the same set of tumors with NMF [16,17] and found nearly identical signatures (cosine similarity 0.9988 between the EMu and NMF AA signatures) and similar estimates of the AA signature’s contributions for these tumors (Figures S8 to S10 in Additional file 1).",positive
"In view that PFD changes mouse liver glutathione S-transferase (mGST), glyceraldehyde-3-phosphate dehydrogenase, carbonic anhydrase III and Zn superoxide dismutase (CuZn-SOD) contents [42, 47, 48], we wished to explore whether it affects other cellular antioxidative enzymes.",neutral
"Patient related factors Arrhythmia / Atrial fibrillation [5, 9, 16, 20, 21, 28, 34, 35]",neutral
"We undertook the present study because recent availability of new fibroblast markers has reduced the difficulty in addressing this issue (7, 8).",positive
"Electron Microscopy and Immunolabeling\nArabidopsis embryos and root tips and tobacco BY2 cells were highpressure frozen/freeze-substituted for electron microscopy analysis as described previously (Otegui et al., 2002).",positive
"[6] and Albal et al. [9, lo] found no influence of the pressure on the volumetric liquid-phase mass transfer coefficient and on the interfacial area, while Sridhar and Potter [ 11, 121 report an increase in the interfacial area of as much as 75% for a pressure increase from 0.1 to 1.1 MPa. The contradictory results of the above-mentioned authors can lead to considerable miscalculations, whatever correlation is taken. In this paper all major studies on the influence of pressure on mass transfer phenomena in gas-liquid systems and reactors are reviewed critically. Points of agreement and conflict are indicated and discussed in order to improve understanding of the mass transfer 0255-2701/89/%3.50 Chem. Eng. Process., 25 (1989) M-98 0 Elsevier Sequoia/Printed in The Netherlands",negative
"Although PPH is one of the most important types of autonomic failure in patients with PD (Jansen and Lipsitz 1995; Loew et al. 1995; Umehara et al. 2014) and related disorders (Hakusui et al. 1991; Hirayama et al. 1993; Mathias 1991), its predictors remain unclear.",neutral
"Despite a study performed by Cancer and Leukemia Group B (CALGB) did not demonstrate superior activities by higher doses of CrEL-based paclitaxel [18], data from several other phase II studies in MBC suggest a dose-response relationship.",negative
"A previously described computerized force-sensitive system was used to quantify gait cycle timing, specifically the swing time and the stride-to-stride variability of swing time (Yogev et al. 2005; Bazner et al. 2000; Frenkel-Toledo et al. 2005).",positive
"In order to determine the coding potential of each MuLVERV isolate, the ORFs for gag, pol and env polypeptides were compared to the MuLV references (Supplementary Table S2) (Shinnick et al., 1981; Urisman et al., 2006).",neutral
"…logistic regression analyses, and those factors had previously been found to be associated with children vaccination coverage in the United States (Luman et al., 2004; Santibanez et al., 2006; Zhao and Luman, 2010): children race/ethnicity (non-Hispanic white only, non-Hispanic black only,…",neutral
"6 See for example studies of Morocco by Haddad and Harrison (1993); Venezuela by Aitken and Harrison (1999); Bulgaria and Romania by Konings (2000); Russia by Yudaeva et al. (2003); the Czech Republic by Kosova (2004); and China by Abraham, Konings and Slootmaekers (2006).",positive
"has shown distractor suppression to have a much larger effect on capacity than target selection processes (Bettencourt & Somers, 2009; Pylyshyn, 2006; Vogel et al., 2005; Zanto & Gazzaley, 2009), and as the effect on capacity of increasing the number of distractors is correlated between VSTM and MOT tasks, we believe that the resources consumed by",neutral
"In our previous study of slow regular saccades, we demonstrated the invariance of saccadic latencies with target angular displacement (Darrien et al., 2001) but had diYculty in reconciling the results with those of previous studies which showed an increase in latency (Fuller, 1996; Kalesnykas &…",negative
clutches of eggs and continues as crabs cycle through successive clutches (Hench et al. 2004,neutral
The C. elegans slow killing assay was conducted as described by Tan et al. (1999a) with minor modifications.,positive
"In situ electron transport chain activity was examined in EWAT minces by measuring the reduction of 2,3,5-triphenyltetrazolium chloride (TTC; Sigma), as described previously (31).",neutral
"…inactivation (Charlton et al., 1982; Chaudhuri et al., 2005; Forsythe et al., 1998; Xu and Wu, 2005) and vesicle depletion (Custer et al., 2006; Pieribone et al., 1995; Schneggenburger et al., 2002; Xu and Wu, 2005) have varying dependence on the frequency of stimulation at different synapses,…",neutral
"The distribution of initial radon levels in the series of 65 houses is shown in Figure 2 , and this has the same pattern as reported by Denman and Phillips (1998a).",positive
ALI risk factors before transfusion: Severity of illness was determined by calculating Acute Physiology and Chronic Health Evaluation (APACHE) III scores (24) before transfusion.,neutral
"Other reasons for the low predictability of the Konishi equation could be the variation in nonrenal digoxin CL in different populations, reduced volume of distribution, and reduced myocardial sensitivity.(21) The results of our study cast doubt on the suitability of the Konishi equation for adjustment of drug dosage in clinical practice in Chinese patients, which could only be applied in stage 3 patients.",negative
This was supported by the results of multivariate analysis that showed PiB PET to be the strongest predictor of progres-\n sion to AD.,positive
Multi-conformation continuum electrostatics (MCCE) (Alexov 2003,neutral
5 ms than a larger response (Sanger et al. 2001,neutral
"sufficient to disrupt core PCP asymmetry and result in a loss or reversal of structural polarity (Adler et al., 2000; Bastock et al., 2003; Strutt and Strutt, 2007; Tree et al., 2002).",neutral
The electrostatic surface representations of the CRV-ZWE-157 protein structure and the DRBP template were produced by the Adaptive Poisson-Boltzmann Solver (APBS) plugin [43] in PyMOL [44]\nList of Abbreviations aa: amino acid,neutral
"…of these findings, the difference in thigmotaxis between the selectively bred HOFT and LOFT mice seemed to be a stable and robust feature of these animals, suggesting that the two lines differed with regard to trait anxiety rather than to state anxiety (see Belzung & Griebel, 2001; Lister, 1990).",neutral
"Poultry, especially turkeys, are extremely sensitive to the toxic effects of AFB1 (Rawal et al., 2010a; Carnaghan et al., 1966; Arafa et al., 1981; Giambrone et al., 1985; Huff et al., 1986; Kubena et al., 1995; Klein\net al., 2000), which was first demonstrated when this mycotoxin was discovered as…",neutral
"5-HT3A receptors also exhibit inwardly rectifyingmacroscopic and single channel current-voltage relationships, slow desensitization kinetics, and substantial Ca(2) permeability (3).",neutral
"Data on the occurrence of the principal mycotoxins on foods and beverages are increasing due to the availability and use of modern and sensitive LC–MS/MS and GC–MS/MS methodologies suitable for simultaneous determination of mycotoxins (Capriotti et al., 2012; Rodríguez-Carrasco et al., 2012).",positive
Comparisons between EMG signals recorded with a current and a traditional potential amplifier demonstrated the validity of current recordings [11].,positive
"We propose to use a family of densities parametrized by functions belonging to a Reproducing Kernel Hilbert Space (RKHS) HY with positive semidefinite kernel k (Canu et al., 2006; Fukumizu, 2009; Sriperumbudur et al., 2017).",neutral
"More specifically, system quality can directly or indirectly predict individuals’ perceived benefits from using an IS [19, 21].",neutral
"Several studies have focused on the fabrication techniques that create a gradient in pore size along the tube wall [12], combining multiple manufacturing methods in order to increase the level of manipulation in scaffold micro-structures [13].",positive
"MD simulations show atomistic models of many stable misfolded hairpins, triplexes and GQs (60,61).",neutral
Haemaphysalis longicornis ticks have been reported to be associated with the transmission of SFTSV (Sun et al. 2014,neutral
"Our results concurred with a previous observation in NIH 3T3 cells during adhesion to FN (31), but contrast with the finding in HeLa cells during adhesion to gelatin (44).",negative
Alignment with sequences deposited in the RDP and GenBank-EMBL databases showed that the sequences of all of the strains were most similar to the G. amarae SE-6 sequence (accession no.,neutral
"The spike protein of CoVs is a membrane glycoprotein that contains important antigenic determinants and neutralizing epitopes and plays a key role in mediating the entry of the CoVs into host cells through receptor binding and membrane fusion (Cruz et al, 2008; Sun et al, 2008; Li, 2015).",neutral
"Importantly, nosocomial candidemia is associated with an unacceptably high mortality ranging between 30% and 50% (Gudlaugsson et al., 2003; Wisplinghoff et al., 2004; Zaoutis et al., 2005).",neutral
The loading values are arranged in such a way that the changes of the properties of fluorophores can easily be caught throughout the cooking kinetic of meat samples (Boubellouta and Dufour 2008).,positive
"Activation of both the Jak/STAT and MEK/ERK signalling pathways has been implicated on IFN-γ-induced iNOS expression (Blanchette et al., 2003; Park et al., 2005; Shen et al., 2005).",positive
Matthews et al. (2002) determined that 3–4 days monitoring were required to accurately measure MVPA [5].,positive
Its NMR data (Tables 1 and 2) also showed great similarity to those of AGI-B4 [7] except for a change in the chemical shift of H-2 (from δH 4.,positive
"We obtained 658–667 bp of mtDNA control region sequences for each species from published data sets (Kulikova et al. 2005, 2012; Peters et al. 2005, 2008, 2012b, 2014; Lavretsky et al. 2014; Table S3, Supporting information), supplementing these data with new sequences.",positive
"This is possible because the generation time is shorter, the genetic material can be manipulated easily and the cultural conditions can be optimized easily (Gupta et al., 2004).",neutral
"We establish consistency in the well specified case by generalising the arguments of Sriperumbudur et al., 2017 to the vector-valued RKHS.",positive
"Pre-intervention survey data (n=65) was collected during the first week of class and postintervention survey data (n=65) the last week of class using the Mediterranean Diet Quality Index (KIDMED) developed and validated by SerraMajem et al.(10) The nutrition intervention was based on the MD as a weight management guideline and incorporated assigned readings, article reviews, recipe analysis, weekly discussion forums, asynchronous presentations, writing assignments, and exams.",neutral
Data derived from Rosengaus et al. (1998) was used to compare the survivorship of I. schwarzi to that of Z. angusticollis following exposure to masscorrected doses of conidia.,neutral
"First, there is no further increase in the percentage of time the membrane potential spends close to threshold, as the average membrane potential 〈V〉 becomes almost independent of 〈I 〉 (see Figure 3B; see also Holt & Koch, 1997).",neutral
"Similar results were obtained by Chiarella and his colleagues, who compared single and multiplex immunization strategies and showed that the latter was the most effective [34].",positive
"They demonstrated by in vitro and ex vivo studies that ATP1A1 mutants showed loss of pump activity and strongly reduced affinity for potassium, causing inappropriate depolarization of the cells (Beuschlein et al. 2013).",neutral
"In barley roots, using GGT inhibitors in association with the thiol oxidizing molecule diamide resulted in a net glutathione extrusion and accumulation in the extracellularmedium (Ferretti et al., 2009).",neutral
"Few studies demonstrated the importance of alexithymia among suicidal patients, but the results were not consistent (Sayar & Acar 2003, Hintikka et al. 2004, Iancu et al. 1999).",negative
"These new scenarios require the use of different scales (nominal or ordinal, as opposed to ratio scales [12]), and as such will mean using different metrics on the databases.",neutral
"Exercise has an important role not only in promoting general health but also in the prevention and treatment of various kinds of ailments, such as mood disorders (Agras, 1995) and constitutional hypotension (Duschek and Schandry, 2007).",neutral
"Several authors have questioned the stripping procedure as it may be associated with excision of ovarian tissue adherent to the cyst wall, with consequent loss of\nfollicles (Brosens et al., 1996; Donnez et al., 1996).",negative
"We used 12 SRNs in each condition, mirroring the number of subjects used by Slobin and Bever (1982).",positive
"Sunitinib is one of several agents, including sorafenib, bevacizumab, and temsirolimus, which target the inhibition of pro-angiogenic growth factor activity and have shown favorable results in clinical trials against metastatic clear-cell RCC [15-17].",neutral
The Pascal VOC Part dataset [3] contain ground-truth part segmentations of 107 object landmarks in six animal categories.,neutral
"…fabric is a quasiperiodic fabric with a small (1–5 km) characteristic wavelength, and hence arises from deformation of a layer of smaller effective mechanical thickness than the longer-wavelength (5 to >30 km) folds [Hansen and Willis, 1996, 1998; Phillips and Hansen, 1998; Ghent and Hansen, 1999].",neutral
"…the female skeletomuscular system\nFlightlessness of females of Geometridae is usually linked with a specific set of ecological traits (Snäll et al. 2007; Wahlberg et al. 2010) and also reflects some general trends of flightlessness in pterygote insects (Roff 1986, 1990; Wagner and Liebherr 1992).",neutral
"Force feedback (FFB) has been shown to increase the usability and to decrease the cognitive workload during the surgery, as reflected in faster learning curves (Narazaki et al. 2006; Okamura 2009).",neutral
"Oxidative damage of telomeres along with a general damage of DNA because of aged and thereby inefficient mitochondria could be an explanation (Chen et al., 1995), although contradictory results have been published on this matter (von Zglinicki et al., 2000; Britt-Compton et al., 2009).",negative
"Fetal rat lung fibroblasts were isolated from e19 Sprague-Dawley rats and cultured at 37°C in chamber slides, six-well plates, and 100-mm dishes, as described by us previously (21, 36, 38).",positive
"…Smt3 and Ubc9 1379\n© 2004 Blackwell Publishing Ltd, Molecular Microbiology, 51, 1375–1387\nProteolysis of cyclin and non-cyclin APC/C substrates is impaired in ubc9-2 and smt3-331 mutants\nPrevious results described a role for Ubc9 in the degradation of cyclins Clb2 and Clb5 (Seufert et al., 1995).",positive
"Although PA interventions have demonstrated benefits for cancer survivors, including improvements in cardiovascular fitness [8], depression [9], fatigue [10], and quality of life [10, 11], few have focused on YACS [12–15].",negative
"…ability of various urea transporters to handle different analogs of urea has proven to be diagnostic of the presence and categorization of urea transporters in fish (Schmidt-Nielsen and Rabinowitz 1964; Wood et al. 1998; McDonald et al. 2000, 2002, 2003; Pilley and Wright 2000; Walsh et al. 2001a).",neutral
"…indicates that cholinergic and glutamatergic functions regulate cortical development and may contribute to postnatal critical periods (Bear and Singer, 1986; Hohmann et al., 1991; Robertson et al., 1998; for review, see Hohmann and Berger-Sweeney, 1998; Fox et al., 1999; Yuste and Sur, 1999).",neutral
"unstructured in HSPB6 and predicted to have similar properties in HSPB1 (18), that is essential for this preferred association.",neutral
"Research investigating reactions to norm-deviations in online settings has to date\nprimarily focused on individuals’ profiles (e.g. Brody & Pena, 2013; McLaughlin & Vitak, 2012; Peña & Brody, 2014).",neutral
"Lamellar split bone grafting The lamellar split osteotomy is a surgical technique that was developed in the late 1980s and was reported in the literature in 1990.[5,6] This technique allows changing in the position of the outer bone cortex by splitting it in situ as you would a segment of cranial bone on the back table.",neutral
"For example, the novel PKCε and PKCδ isoforms were shown to mediate the inhibitory effect of phorbol ester PMA and serotonin on Cl−/OH− exchange, respectively [24, 38], in Caco2 cells.",neutral
"Some local features by combining of LBP and Gabor feature have been proposed [33–36], which can achieve better recognition performance than either feature alone.",positive
", 2000) or disease state (Ricceri et al., 2007; Scattoni et al., 2008; Young et al., 2010; Wohr et al., 2011a).",neutral
"…paralysis and show a very prominent lower motor neuron disease (Gurney et al., 1994; Bendotti et al., 2001; Martin et al., 2007), the details of the cellular and molecular pathology appear to be distinct from that seen in human ALS (Martin, 1999, 2010a; Martin and Liu, 2004; Martin et al., 2007).",neutral
"Our results corroborate and greatly expand on previous reports, which compared FAO food-supply data to individual dietary data for only a few countries (14, 15) or selected dietary components such as fruit and vegetables (16).",positive
Component\nRHOA 3 transforming growth factor beta receptor signaling pathway\nintracellular\nSPTA1 1 MAPK cascade cytosol\nTP53 17 negative regulation of transcription from RNA polymerase II promoter\nnuclear chromatin\nUSH2A 1 visual perception photoreceptor inner segment AKT1 14 protein import into nucleus nucleus\nARID1A 1 negative regulation of transcription from RNA polymerase II promoter\nnuclear chromatin\nCTCF 16 negative regulation of transcription from RNA polymerase II promoter\nchromosome\nEP300 22 negative regulation of transcription from RNA polymerase II promoter\nhistone acetyltransferase complex\nFBXW7 4 protein polyubiquitination nucleoplasm\nKRAS 12 MAPK cascade intracellular\nTIAM1 21 cardiac muscle hypertrophy nucleus\nCTNNB1 3 negative regulation of transcription from RNA polymerase II promoter\nspindle pole\nCHD4 12 negative regulation of transcription from RNA polymerase II promoter\nnuclear chromatin\nArticle No~e00277\nTable 1.,neutral
"Such training has been shown to reduce resting CRP and IL-6 (Mendham et al. 2014), and improve glycaemic control (Andersen et al. 2014) and body\ncomposition (Andersen et al. 2010).",positive
"Although NO can react directly with O2 - to form peroxynitrite (Lipton et al. 1993), the production of O2 - by wounding was from the leaves incubated with water.",neutral
"-Actin, renin, COX-1, COX-2, nNOS, and endothelial NOS (eNOS) mRNA levels were measured by ribonuclease protection assays, as described elsewhere (4, 26).",positive
Merkel cell virus has been linked to Merkel carcinoma [8] and Fusobacterium has recently been associated with colorectal carcinoma [6].,neutral
"On the other hand, TIMP-1 may also exert continuous damaging stimulus on the vascular wall, inducing stimulating smooth muscle cell proliferation [19] and promoting inflammation [20].",neutral
"Nevertheless, the clinical implications of these findings are not clear as no prognostic significance of EGFR gene amplification was found in some studies and contrasting results were published in others, often carried out with different approaches [27, 29].",negative
", 2010), and retromer tubule formation is reported to be maximal at the time of Rab5-to-Rab7 conversion (Cullen and Korswagen, 2012; van Weering et al., 2012).",neutral
"Eight of the included studies examined the history of changes made to each registry record in order to compare published outcomes with the primary outcome as stated in the registry at either the time of study initiation or prior to completion of enrollment [7, 16, 20, 22, 24, 30, 31, 36].",neutral
Criteria for intracellular identification of the ventral superficial muscle motoneurons have been described in detail (Chapple and Krans 2004,positive
Late viral proteins are instead structural elements necessary for new particle assembly and formation and for the lysis of the cell that occurs after maturation [12].,neutral
1 is involved in other autophagy-regulated processes in addition to aggrephagy (26).,neutral
Large scale climatic conditions have been shown to affect avian productivity in general (Nott et al. 2002).,neutral
"Two of the five substrains (6J and KSJ) had significantly different MJT on the 28-day flurothyl retest as compared to their MJT on trial 8 of the induction phase (6J: t12 = 2.85; P,0.01; KSJ: t12 = 3.62; P,0.002; Fig.",neutral
"The problem is completely solved in the i.i.d case, however, it is not easy to check effectively, since it has been proved in Blondel et al. (2000) that computing the Lyapunov exponents is an NP-hard problem.",neutral
"Figure 1 (top) shows the data from McCarthy and Davison (1984), which arranged four stimulus discriminability levels, and for each level, arranged three different reinforcer frequency ratios (4:1, 1:1, and 1:4).",neutral
"Biotechnological applications of latex peptidases are numerous, such as in medicine: plasma-clotting (Viana et al., 2013), anti-cancer, antihelminthic, and anti-inflammatory activities (Salas, Gomes, Hernandez, & Lopes,\n2008); in agriculture: defense against insects and fungi (Konno et al., 2004;…",neutral
"This central role of experimentation has generated an ongoing interest in the definition of adequate experimental protocols and the use of inferential procedures for comparing two or more algorithms, either on single or multiple problem instances [2, 46, 34, 18, 37, 58, 22, 59, 9, 11, 5, 6, 30, 29, 24, 23, 16, 39, 33, 8].",neutral
"The same results were obtained by Winther and Nathalang [27] and by Knoll-K√∂hler [14], who did not determine any difference in the anaesthetic action profiles of a 2 and 4% solution of articaine or a 74-mM (=2.4% solution) and a 148-mM (=4",positive
"According to our inclusion criteria, a total of 12 eligible studies[21,26–36] involving 777 cases and 404 controls were included in the pooled analyses.",neutral
"The second experiment’s purpose was to sustain long-term relationships between children and the robot, and a mechanism was added to the robot to assist long-term interaction (Kanda et al., 2004 b).",neutral
"This is in contrast to the situation with the enveloped virus fusion machines, where spatial relationships between the binding and fusion components frequently influence the folding, stability or triggering of the pre-fusion complex and/or coordinated progression through the fusion reaction [7,8,10].",neutral
"Consequently, the reactive power is reduced at low voltages when it is likely to be needed most [9].",neutral
"This experience of a nearly pain-free treatment for patients has also been reported in other studies on daylight PDT [12‚Äì15,32‚Äì34].",positive
"In contrast to most plant PPR proteins identified so far, which contain 12 PPR repeats on average (Lurin et al., 2004; Tourasse et al., 2013), PPR7 consists of only four PPR units, followed by a very short, positively charged conserved tail (Supplemental Figure 1).",neutral
"…techniques were used for the quantification of RAM in the biological fluids including liquid chromatography-tandem mass spectrometry (LC-MS/MS) (Gupta et al., 2011; Pilli et al., 2011; Patel et al., 2014), high performance liquid chromatography (HPLC) (Kurade et al., 2009) and…",neutral
"Different from other content-based Web page clustering approaches [5, 13, 14], the SOM-based approach clusters Web pages based on users’ browsing patterns.",neutral
"ImageNet We also carry out experiments on the ImageNet 2012 classification data set [5], which has 1.",neutral
"Importantly, brain atrophy measures based on T1w images are shown to correlate with the amount of tau deposition and neuropsychological deficits, thus validating its use as a biomarker of Alzheimer’s disease (AD) (Frisoni et al., 2010).",positive
"Similar to the results obtained with ECM-susceptible C57BL/6 mice, ECMresistant BALB/c mice demonstrated marked and significant\n(P 0.05) increases in vascular P-selectin levels in brain and lung (5.5- and 7.0-fold with P 0.003 and 0.004, respectively) as well as in gastrointestinal tract, heart, muscle, thymus, and pancreas (Table 2).",positive
"We conducted several experiments to compare the proposed detection methods with one of the scene text detection methods (STD) [8], SBD [5] and TLD [6].",neutral
"…SNX3 is enriched at early endosomes, retromer tubules formed by the Vps5 and Vps17 homologues SNX1/2 and SNX5/6, respectively (Wassmer et al., 2009), are most abundant on endosomes undergoing the early-to-late transition (Rojas et al., 2008; Cullen and Korswagen, 2012; van Weering et al., 2012).",neutral
"It is clear that ingressing furrows in both cytokinetic cells and the early fly embryo require membrane trafficking pathways as part of the furrowing mechanism (Lecuit and Wieschaus, 2000; Albertson et al., 2005; Prekeris and Gould, 2008).",neutral
"‚Ä¶identification and analysis of putative promoter sequence was conducted using the ProScan suite of programs (http://thr.cit.nih.gov/molbio/ proscan/) using the default settings [Prestridge, 2000] as per our previous gene characterization protocols [Philibert et al., 1999; Philibert et al., 2000].",positive
Previous research using the WSAP suggests that interpretation biases based on reaction time measures may be different for socially anxious undergraduates than for individuals with SAD (Amir et al. 2012).,neutral
[11] take the simplest possible approach to constructing a subspace which captures the variation in illumination.,positive
"However, some of these studies did not separate out the double/triple-hit lymphomas from those with only MYC abnormalities in their analyses [17, 19, 20, 22, 24].",negative
"Similar results were found in other restinga areas of the State of Rio de Janeiro, where Eugenia and Erythroxylum (Erythroxylaceae) were pointed out as super host plants (Maia, 2001; Oliveira and Maia, 2005).",positive
"However, in contrast to our study Steyn-Ross et al. (1999), Bojak and Liley (2005) and Hutt and Longtin (2010) did not observe increased EEG frequencies.",negative
